Reference test application,Path inside `sources` directory,Description
Sample test application 1,apps/sample_apps/deepstream-test1,Sample of how to use DeepStream elements for a single H.264 stream: filesrc |rarr| decode |rarr| nvstreammux |rarr| nvinfer or nvinferserver (primary detector) |rarr| nvdsosd |rarr|  renderer. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Sample test application 2,apps/sample_apps/deepstream-test2,"Sample of how to use DeepStream elements for a single H.264 stream: filesrc |rarr| decode |rarr| nvstreammux |rarr| nvinfer or nvinferserver (primary detector) |rarr| nvtracker |rarr| nvinfer or nvinferserver (secondary classifier) |rarr| nvdsosd |rarr| renderer. This app uses resnet18_trafficcamnet_pruned.onnx for detection and 2 classifier models (i.e., resnet18_vehiclemakenet_pruned.onnx, resnet18_vehicletypenet_pruned.onnx)."
Sample test application 3,apps/sample_apps/deepstream-test3,"Builds on deepstream-test1 (simple test application 1) to demonstrate how to:

 * Use multiple sources in the pipeline.
 * Use a uridecodebin to accept any type of input (e.g. RTSP/File), any GStreamer supported container format, and any codec.
 * Configure Gst-nvstreammux to generate a batch of frames and infer on it for better resource utilization.
 * Extract the stream metadata, which contains useful information about the frames in the batched buffer.

This app uses resnet18_trafficcamnet_pruned.onnx for detection."
Sample test application 4,apps/sample_apps/­deepstream-test4,"Builds on deepstream-test1 for a single H.264 stream: filesrc, decode, nvstreammux, nvinfer or nvinferserver, nvdsosd, renderer to demonstrate how to:

 * Use the Gst-nvmsgconv and Gst-nvmsgbroker plugins in the pipeline.
 * Create NVDS_META_EVENT_MSG type metadata and attach it to the buffer.
 * Use NVDS_META_EVENT_MSG for different types of objects, e.g. vehicle and person.
 *  Implement “copy” and “free” functions for use if metadata is extended through the extMsg field.

This app uses resnet18_trafficcamnet_pruned.onnx for detection."
Sample test application 5,apps/sample_apps/­deepstream-test5,"Builds on top of deepstream-app. Demonstrates:

  • Use of Gst-nvmsgconv and Gst-nvmsgbroker plugins in the pipeline for multistream.
  • How to configure Gst-nvmsgbroker plugin from the config file as a sink plugin (for KAFKA, Azure, etc.).
  • How to handle the RTCP sender reports from RTSP servers or cameras and translate the Gst Buffer PTS to a UTC timestamp.

For more details refer the RTCP Sender Report callback function ``test5_rtcp_sender_report_callback()`` registration and usage in ``deepstream_test5_app_main.c``.
GStreamer callback registration with rtpmanager element’s “handle-sync” signal is documented in ``apps-common/src/deepstream_source_bin.c``.

This app uses resnet18_trafficcamnet_pruned.onnx for detection."
:doc:`DeepStream 3D Multi-Modal Lidar Camera Sensor Fusion App <DS_3D_MultiModal_Lidar_Sensor_Fusion>`,apps/sample_apps/deepstream-3d-lidar-sensor-fusion,"The sample app :doc:`deepstream-3d-lidar-sensor-fusion <DS_3D_MultiModal_Lidar_Sensor_Fusion>`  showcases a multi-modal sensor fusion pipeline for LiDAR and camera data using the DS3D framework. There are 2 pipelines integrated into this sample,   :doc:`ds3d multi-modal bevfusion <DS_3D_MultiModal_Lidar_Camera_BEVFusion>` with 6 cameras plus a lidar data fusion and 3D detection; `v2x` model Processes data from a single camera and a LiDAR, utilizing a batch size of 4."
AMQP protocol test application,libs/amqp_­protocol_adaptor,Application to test AMQP protocol. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
Azure MQTT test application,libs/azure_protocol_adaptor,Test application to show Azure IoT device2edge messaging and device2cloud messaging using MQTT. This app uses resnet18_trafficcamnet_pruned.onnx for detection.
DeepStream reference application,apps/sample_apps/­deepstream-app,"Source code for the DeepStream reference application. This app uses resnet18_trafficcamnet_pruned.onnx for detection and 2 classifier models (i.e., resnet18_vehiclemakenet_pruned.onnx, resnet18_vehicletypenet_pruned.onnx)."
Dewarper example,apps/sample_apps/deepstream-dewarper-test,Demonstrates dewarper functionality for single or multiple 360-degree camera streams. Reads camera calibration parameters from a CSV file and renders aisle and spot surfaces on the display.
