Property,Meaning,Type and Range,Example notes
config-file-path,Absolute pathname of configuration file for the Gst-nvinfer element,String,config-file-path=­config_infer_primary.txt
classifier-type,Type of classifier for this instance of nvinfer,String,classifier-type=vehicletype
process-mode,"Infer Processing Mode
1=Primary Mode
2=Secondary Mode","Integer, 1 or 2",process-mode=1
unique-id,Unique ID identifying metadata generated by this GIE,"Integer, | 0 to 4,294,967,295",unique-id=1
infer-on-gie-id,See operate-on-gie-id in the configuration file table,"Integer,
0 to 4,294,967,295",infer-on-gie-id=1
infer-on-class-ids,See operate-on-class-ids in the configuration file table,An array of colon- separated integers (class-ids),infer-on-class-ids=1:2:4
filter-out-class-ids,See filter-out-class-ids in the configuration file table,Semicolon delimited integer array,filter-out-class-ids=1;2
model-engine-file,Absolute pathname of the pre-generated serialized engine file for the mode,String,model-engine-file=­model_b1_fp32.engine
batch-size,Number of frames/objects to be inferred together in a batch,"Integer,
1 – 4,294,967,295",batch-size=4
Interval,Number of consecutive batches to be skipped for inference,"Integer, 0 to 32",interval=0
gpu-id,Device ID of GPU to use for pre-processing/inference (dGPU only),"Integer,
0-4,294,967,295",gpu-id=1
raw-output-file-write,Writes raw inference output to a file when enabled,Boolean,raw-output-file-write=1
raw-output-generated-callback,Pointer to the raw output generated callback function,Pointer,Cannot be set through gst-launch
raw-output-generated-userdata,Pointer to user data to be supplied with raw-output-generated-callback,Pointer,Cannot be set through gst-launch
output-tensor-meta,Indicates whether to attach tensor outputs as meta on GstBuffer.,Boolean,output-tensor-meta=0
output-instance-mask,Gst-nvinfer attaches instance mask output in object metadata.,Boolean,output-instance-mask=1
input-tensor-meta,Use preprocessed input tensors attached as metadata instead of preprocessing inside the plugin,Boolean,input-tensor-meta=1
crop-objects-to-roi-boundary,Clip the object bounding boxes to fit within the specified ROI boundary,Boolean,crop-objects-to-roi-boundary=1
clip-object-outside-roi,Clip the object bounding box which lies outside the ROI specified by the nvdspreprocess plugin,Boolean,clip-object-outside-roi=1
strongly-typed,Enable strongly typed network mode for enhanced type inference; corresponds to the --stronglyTyped flag in trtexec,Boolean,strongly-typed=1
dynamic-properties,Dynamic properties for TensorRT/trtexec flags as key=value pairs separated by semicolons,String,dynamic-properties='data_max=100;init_max=200;calibration_data=/path/to/data'
