Property,Meaning,Type and Range,Example notes
config-file-path,Absolute pathname of configuration file for the Gst-nvinfer element,String,config-file-path=­config_infer_primary.txt
unique-id,Unique ID identifying metadata generated by this GIE,"Integer, | 0 to 4,294,967,295",unique-id=1
infer-on-gie-id,See operate-on-gie-id in the configuration file table,"Integer,
0 to 4,294,967,295",infer-on-gie-id=1
operate-on-class-ids,See operate-on-class-ids in the configuration file table,An array of colon- separated integers (class-ids),operate-on-class-ids=1:2:4
filter-out-class-ids,See filter-out-class-ids in the configuration file table,Semicolon delimited integer array,filter-out-class-ids=1;2
model-engine-file,Absolute pathname of the pre-generated serialized engine file for the mode,String,model-engine-file=­model_b1_fp32.engine
batch-size,Number of audio frames to be inferred together in a batch,"Integer,
1 – 4,294,967,295",batch-size=4
Interval,Number of consecutive batches to be skipped for inference,"Integer, 0 to 32",interval=0
gpu-id,Device ID of GPU to use for pre-processing/inference (dGPU only),"Integer,
0-4,294,967,295",gpu-id=1
raw-output-file-write,Pathname of raw inference output file,Boolean,raw-output-file-write=1
raw-output-generated-callback,Pointer to the raw output generated callback function,Pointer,Cannot be set through gst-launch
raw-output-generated-userdata,Pointer to user data to be supplied with raw-output-generated-callback,Pointer,Cannot be set through gst-launch
output-tensor-meta,Indicates whether to attach tensor outputs as meta on GstBuffer.,Boolean,output-tensor-meta=0
output-instance-mask,Gst-nvinfer attaches instance mask output in object metadata.,Boolean,output-instance-mask=1
audio-transform,Transform name and parameters,Boxed pointer of type "GstStructure","audio-transform=
melsdb,fft_length=2560,hop_size=692,dsp_window=hann,
num_mels=128,sample_rate=44100,p2db_ref=(float)1.0,
p2db_min_power=(float)0.0,p2db_top_db=(float)80.0"
audio-framesize,Frame size to use for transform, Unsigned Integer. Range: 0 - 4294967295,audio-framesize=441000 
audio-hopsize,Hop size to use for transform,Unsigned Integer. Range: 0 - 4294967295,audio-hopsize=110250
